videoID;questionID;question;ansA;ansB;ansC;ansD;correct;
1;1;Jakiego koloru był samochód?;czarny;srebny;żółty;zielony;żółty;fa
1;2;Ile osób wystąpiło w reklamie?;4;3;2;5;3;
1;3;Jakie owoce pojawiły się w reklamie?;arbuz;jabłko;gruszka;wiśnia;arbuz;
2;1;Ile kluczy zebrał bohater?;4;6;7;3;3;banderas
2;2;Jakiego koloru była sukienka bohaterki?;błękitna;fioletowa;biała;czerwona;czerwona;
2;3;Jaki kształt miały kolczyki starszej pani?;łezki;okrągłe;kwadratowe;słupki;łezki;
3;1;Gdzie znaleziono kość?;pod poduszką;na dywanie;w teczce;w ogrodzie;w teczce;allegro pies
3;2;Co zostało pogryzione?;telefon;zabawka;zegarek;ręcznik;telefon;
3;3;Kogo woli pies?;dziecko;tatę;oboje;mamę;dziecko;
4;1;W jakim wieku jest Abimata?;15 dni;20 dni;miesiąc;10 dni;15 dni;unicef
4;2;Jaki kraj został wspomniany?;Malawi;Mali;Gambia;Maroko;Mali;
4;3;Który bohater znalazł się na ubranku?;Myszka Mini;Kaczor Donald;Myszka Miki;Daisy;Myszka Miki;
5;1;Jakiego produktu dotyczy reklama?;torebek;rajstop;biżuterii;ubrań;torebek;Cavin Klein
5;2;Jakiego koloru były torebki?;białego i czarnego;czerwonego i białego;czerwonego i czarnego;białego i szarego;czerwonego i czarnego;
5;3;Jak wystylizowano włosy bohaterki?;były rozpuszczone;związane w warkocz;częściowo związane;spięte w kok;spięte w kok;
6;1;Które słowo pojawiło się najwięcej razy?;h2owoc;bez;bzy;ez;bez;tymbark
6;2;Który owoc pojawił się jako pierwszy?;truskawka;cytryna;malina;żaden z wymienionych;truskawka;
6;3;Ile wariantów smakowych zaprezentowano?;1;4;3;2;3;
7;1;Jak ma na imię chłopczyk?;Kuba;Karol;Kamil;Kacper;Kuba;DKMS
7;2;Jakiego koloru są oczy chłopczyka?;zielone;brązowe;niebieskie;piwne;niebieskie;
7;3;Którego z nowotworów dotyczy kampania?;ukł. nerwowego;krwi;chłoniaka;mózgu;krwi;
8;1;Który prezent okazał się być najlepszy?;pierwszy;drugi;ostatni;żaden;ostatni;Pieski
8;2;Ile osób uczestniczyło w zdarzeniu?;3;4;6;5;4;
8;3;Jakiego koloru był piesek?;biały z łatką;brązowo-czarny;biało-brązowy;biały;biały z łatką;
9;1;Które oko było spuchnięte?;lewe;prawe;oba;żadne;lewe;przemoc domowa
9;2;Z iloma osobami spotkała się bohaterka?;15;12;7;6;12;
9;3;Jak brzmi tytuł petycji?;Stop kobietobójstwu;Stop przemocy;żaden z wymienionych;Stop przemocy wobec kobiet;Stop kobietobójstwu;
10;1;Co łączy występujące osoby?;wszystkie są jednej płci;wszystkie jedzą lody;mają ten sam kolor ubrań;wszystkie tańczą;wszystkie tańczą;Koral
10;2;Ile smaków lodów zaprezentowano?;5;4;6;7;6;
10;3;W jakim miejscu kończy się reklama?;na imprezie;na plaży;na ulicy;w ogrodzie;na plaży;
